37,19,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,3,11,11,6,5.75,7,4.5,0,0,0,17,0.529411765,0.470588235,0,0,0.875,0,0.5,0,0,80,0,100,0,0,0,0,0,0,0,0,1,0,45,-1,0,1,1,4
77,23,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0.220779221,0,0,0,0,0,1,0,0,0,1,0,4,4,2,19,2,32,19,32,15.75,19,14.66666667,0,0,0,30,0.966666667,0.033333333,0,0,0,0,0,0,0,100,0,80,20,0,0,100,0,0,0,1,0,0,77,5767,0,0,1,2
126,50,1,4,1,0,1,2,0,3,2,5,0,1,0,0,1,0,0,0.150793651,0,0,0,1,0,3,1,0,0,1,0,12,2,2,3,2,17,13,17,8.25,8.4,8.142857143,0,0,0,4,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,1,0,0,14,4004,5828815,0,1,0
18,11,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,5,5,0,5,5,0,5,5,0,0,0,0,149,0.973154362,0.026845638,0,0,0.25,0,0.25,0,0,100,0,96.42857143,3.571428571,0,0,62.5,0,0,0,1,0,0,62,-1,107721,0,0,3
55,15,0,2,2,0,0,0,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,6,3,3,3,4,11,7,11,6.333333333,5,7,0,0,0,102,0.470588235,0.529411765,0,0,0.537037037,0,0.018518519,1,0,76.47058824,0,0,100,0,0,0,0,0,0,0,1,0,224,8175,8725,0,0,6
32,24,0,3,1,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0,4,3,3,3,0,7,7,0,4.5,4.5,0,0,0,0,10,0.3,0.7,0,0,0.571428571,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,0
19,12,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,3,3,3,0,5,5,0,4,4,0,0,0,0,98,0.081632653,0.918367347,10,0,0,0,0,0,1,0,0,0,100,0,0,100,0,0,0,0,1,0,170,7529,0,0,0,1
81,27,1,2,0,0,0,0,0,0,0,5,0,1,0,1,0,0,1,0.259259259,0,0,0,0,0,2,0,0,0,1,0,5,8,2,3,2,32,19,32,13.2,11,14.66666667,0,0,0,30,0.966666667,0.033333333,0,0,0,0,0,0,0,100,0,80,20,0,0,100,0,0,0,1,0,0,76,5767,0,0,1,2
42,34,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,8,8,0,21,21,0,14.5,14.5,0,0,0,0,63,0.206349206,0.793650794,3,0,0.38,0,0,0,1,0,0,0,100,0,0,27.27272727,0,0,0,1,1,0,371,7298,0,0,0,5
104,10,0,1,10,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0.076923077,0,0,0,0,0,1,0,0,0,0,0,14,0,2,6,2,10,6,10,5.571428571,6,5.538461538,1,0,0,140,0.778571429,0.221428571,1,0,0.193548387,0,0,0,1,93.10344828,0,10,90,0,0,58.13953488,0,0,0,1,0,0,128,9368,6774,0,0,5
